Year,Title,Game System,Long Description,Event Type,Game ID,Duration,Cost $,Maximum Players,Rules Complexity,Location,GM Names,Start Date & Time,Original Order,Website,Email,Tournament?,Round Number,Total Rounds,Minimum Play Time,Attendee Registration?,Group,Room Name,Table Number,Special Category,Tickets Available,Last Modified,Materials Provided,Also Runs,Prize,Short Description,Rules Edition,Minimum Players,Age Required,End Date & Time,Experience Required
2002,1856,1856,An I8xx variant that takes place in Upper Canada.This event is a qualifier for the I8xx Tournament. This event counts towards both the Puffing Billy Tournament and the MayfairTournament.,Boardgames,1966,6:00:00,$4.50,999,H-2,Hilton: GB7HQ,Train Gamers Association,8/8/2002,1,,,,,,,,,,,,,,,,,,,,,,
2002,Acquire!,Acquire!,"Stocks, mergers, and hostile takeovers are the call of the day in Avalon Hills financial game of hotel chains. Start a hotel of your own or take over one of your opponents chains! Generic tickets welcome.",Boardgames,1273,4:00:00,$3.00,6,A-1,Hilton: GB7HQ,Game Base 7,8/8/2002,2,,,,,,,,,,,,,,,,,,,,,,
2002,Advanced Civilization,Advanced Civilization,Can you lead your country to civilization First! Come and find out in this game of ancient trading and warfare in a race to become civilized. Generic tickets welcome.,Boardgames,1286,8:00:00,$6.00,122,H-5,Hilton: GB7HQ,Game Base 7,8/8/2002,3,,,,,,,,,,,,,,,,,,,,,,
2002,Africa,Africa,"Daring explorers travel deep into darkest Africa seeking isolated tribes, valuable treasure, exotic goods, and more: The explorers decide whether to go deeper into unknown territory or search the known areas more thoroughly. Part of the Rio Grande Tournament.",Boardgames,1293,2:00:00,$1.50,20,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,4,,,,,,,,,,,,,,,,,,,,,,
2002,Arkham Horror,Arkham Horror,Play the game everyone’s trying to buy on Ebay! Chaosium is summoning a 15th Anniversary edition of our classic Lovecraftain board game: Team up with your fellow investigators to keep witch-haunted Arkham from being over run by horrors from beyond!,Boardgames,1067,3:45:00,$3.00,8,E-1,3rd Floor: BGHQ,"Chaosium, Inc.",8/8/2002,5,,,,,,,,,,,,,,,,,,,,,,
2002,Asten Games Workshop,Asten Games Workshop,"Come play Star Wars, Cowboys and Indians, WWII, Marvel Super Heroes, and many more. Create your own board game that is easy to play and fun for all ages. Families and kids welcome. Prizes for all players.",Boardgames,1306,4:00:00,$3.00,999,NULL,Hilton: GB7HQ,Game Base 7,8/8/2002,6,,,,,,,,,,,,,,,,,,,,,,
2002,"Axis & Allies, Domination",Axis & Allies,"Start with your capital and 30 IPCs, expand outward, make allies or enemies. Home rules used. See if you have what it takes to become ruler of the world. BYOG to choose the side you want to play.",Boardgames,1319,4:00:00,$3.00,125,A-3,Hilton: GB7HQ,Game Base 7,8/8/2002,7,,,,,,,,,,,,,,,,,,,,,,
2002,Bohnnanza,Bohnnanza,"This great game about planting, trading, and selling 11 kinds of beans. Players collect large sets of beans to trade for gold. Limited growing space and new beans to plant.To avoid unwanted beans, players trade them to those who want them for their bean fields.",Boardgames,1325,2:00:00,$1.50,28,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,8,,,,,,,,,,,,,,,,,,,,,,
2002,British Rails,British Rails,(First Occurrence: Th 5 PM #1958),Boardgames,1955,4:00:00,$3.00,999,A-1,Hilton: GB7HQ,Train Gamers Association,8/8/2002,9,,,,,,,,,,,,,,,,,,,,,,
2002,"Dawn Patrol, Even Up",Dawn Patrol,Very early in 1917 the air war was closely matched when both sides were still experimenting with armament. Only getting close enough will allow you to know for sure. A scenario with a few different planes not seen too often.,Boardgames,1238,3:45:00,$3.00,24,A-2,3rd Floor: BGHQ,Council 12 Computing,8/8/2002,10,,,,,,,,,,,,,,,,,,,,,,
